item_id,day_index,actual_sales,median_q50,conformal_lower_q10,conformal_upper_q90,recommended_order_qty,interval_width,relative_risk,risk_level,primary_risk_driver,recommended_actions,Demand Trend,Demand Volatility,Seasonality & Events,Data Reliability,Unmapped / Other,risk_driver_demand_volatility,risk_driver_seasonality_and_events,risk_driver_data_reliability
FOODS_2_064_WI_1_validation,1891,0,0.69,0.0,2.48,3.0,2.48,3.5941508094085597,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",63.47,7.41,8.03,0.12,20.98,47.62,51.62,0.76
HOUSEHOLD_1_005_CA_3_validation,1909,0,1.0,0.0,3.09,3.0,3.09,3.0899691003089966,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",76.86,1.15,8.71,0.21,13.07,11.45,86.47,2.08
HOUSEHOLD_1_366_CA_2_validation,1912,0,0.0,0.0,0.02,1.0,0.02,1999.9999999999998,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.84,13.82,2.45,0.08,5.81,84.5,15.0,0.5
FOODS_3_642_WI_2_validation,1909,0,0.0,0.0,1.79,2.0,1.79,179000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",81.2,11.69,2.71,0.12,4.28,80.49,18.69,0.81
FOODS_3_734_TX_2_validation,1889,1,1.64,0.0,4.69,4.0,4.69,2.8597386601301213,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",78.32,5.5,8.2,0.17,7.81,39.68,59.09,1.24
HOUSEHOLD_2_187_CA_2_validation,1899,1,0.0,0.0,1.18,1.0,1.18,117999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",81.91,8.23,3.03,0.1,6.73,72.47,26.64,0.89
HOUSEHOLD_2_261_WI_1_validation,1896,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",77.34,16.51,2.16,0.09,3.91,88.03,11.52,0.45
HOUSEHOLD_1_529_TX_3_validation,1895,2,1.37,0.0,3.99,4.0,3.99,2.9123875008211617,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",70.46,11.0,9.04,0.16,9.34,54.46,44.76,0.78
FOODS_3_754_TX_3_validation,1907,0,0.0,0.0,0.95,1.0,0.95,94999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.4,14.64,1.9,0.11,2.94,87.9,11.43,0.67
FOODS_2_375_TX_1_validation,1888,1,0.0,0.0,1.02,1.0,1.02,102000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",83.23,9.79,2.36,0.11,4.5,79.79,19.28,0.93
HOBBIES_1_055_WI_2_validation,1895,0,0.15,0.0,2.0,2.0,2.0,13.332444503699753,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",68.67,7.5,8.03,0.14,15.65,47.86,51.22,0.92
HOUSEHOLD_1_269_TX_3_validation,1910,3,0.0,0.0,1.17,1.0,1.17,116999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",81.07,12.55,1.97,0.1,4.3,85.82,13.48,0.7
HOUSEHOLD_2_387_CA_2_validation,1886,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",81.39,14.66,1.81,0.09,2.06,88.56,10.92,0.52
HOUSEHOLD_2_469_WI_3_validation,1909,0,0.0,0.0,1.66,2.0,1.66,165999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.36,12.56,2.52,0.12,5.44,82.61,16.6,0.78
FOODS_2_167_CA_4_validation,1912,4,0.0,0.0,1.66,2.0,1.66,165999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.91,11.41,2.85,0.1,6.73,79.45,19.82,0.73
FOODS_2_328_TX_1_validation,1886,0,0.0,0.0,1.71,2.0,1.71,170999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",80.07,13.57,2.45,0.12,3.79,84.05,15.2,0.75
HOUSEHOLD_1_410_TX_2_validation,1903,0,-0.0,0.0,0.42,1.0,0.42,41999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.64,16.76,2.16,0.08,2.36,88.21,11.38,0.4
HOBBIES_1_419_CA_1_validation,1900,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.62,14.08,2.15,0.11,4.03,86.15,13.18,0.67
HOUSEHOLD_2_325_WI_3_validation,1892,0,0.0,0.0,1.69,2.0,1.69,168999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",76.0,13.23,3.37,0.1,7.3,79.22,20.15,0.62
HOBBIES_1_159_CA_2_validation,1911,0,0.38,0.0,1.99,2.0,1.99,5.2367042972553355,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",70.85,9.77,3.88,0.18,15.34,70.68,28.05,1.27
FOODS_2_338_WI_3_validation,1905,0,1.12,0.0,3.16,3.0,3.16,2.821403380326961,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",78.46,6.48,5.32,0.14,9.6,54.29,44.54,1.17
FOODS_2_173_WI_1_validation,1891,3,1.63,0.0,5.0,5.0,5.0,3.0674658437678297,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",75.67,3.35,8.12,0.16,12.7,28.82,69.77,1.42
FOODS_2_182_TX_2_validation,1892,0,0.68,0.0,2.81,3.0,2.81,4.132292172173939,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",73.67,3.98,5.46,0.11,16.79,41.69,57.19,1.12
HOUSEHOLD_1_086_CA_1_validation,1907,1,0.99,0.0,2.99,3.0,2.99,3.0201715134190565,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",86.41,3.31,6.09,0.2,3.99,34.48,63.47,2.05
FOODS_3_284_WI_3_validation,1892,1,0.02,0.0,2.08,2.0,2.08,103.9480259870065,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",76.63,12.47,3.53,0.1,7.26,77.42,21.93,0.64
HOBBIES_1_095_CA_2_validation,1911,1,0.0,0.0,0.97,1.0,0.97,96999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.94,13.67,0.94,0.09,5.35,92.94,6.42,0.64
FOODS_1_040_CA_4_validation,1906,1,0.39,0.0,3.39,3.0,3.39,8.69208481833799,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",83.91,1.39,3.99,0.11,10.6,25.33,72.6,2.07
HOUSEHOLD_2_397_CA_2_validation,1902,0,0.0,0.0,0.96,1.0,0.96,95999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.22,14.93,2.1,0.11,4.64,87.09,12.27,0.64
HOUSEHOLD_1_146_CA_1_validation,1890,1,1.24,0.0,3.45,3.0,3.45,2.782235627132039,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",69.64,10.69,5.49,0.21,13.97,65.2,33.5,1.3
FOODS_3_071_WI_1_validation,1910,3,1.38,0.0,4.38,4.0,4.38,3.1738900442750415,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",79.61,7.38,6.08,0.12,6.81,54.34,44.79,0.87
FOODS_1_172_TX_1_validation,1894,0,0.23,0.0,3.56,3.0,3.56,15.477587930959523,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",81.02,8.42,5.27,0.11,5.17,61.0,38.2,0.8
HOBBIES_1_028_TX_2_validation,1907,0,0.0,0.0,1.63,2.0,1.63,162999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",83.01,8.43,2.91,0.13,5.51,73.47,25.38,1.15
HOBBIES_1_355_TX_2_validation,1904,1,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.97,13.55,1.14,0.1,5.25,91.66,7.68,0.65
HOUSEHOLD_1_040_CA_1_validation,1898,2,2.52,0.0,5.81,5.0,5.81,2.3055464065618785,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",64.89,9.61,9.42,0.23,15.85,49.91,48.9,1.19
HOUSEHOLD_2_167_CA_4_validation,1913,1,1.21,0.0,3.26,3.0,3.26,2.6941926099784297,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",71.51,7.37,7.16,0.17,13.79,50.15,48.7,1.15
FOODS_2_263_WI_2_validation,1895,0,0.0,0.0,1.24,1.0,1.24,123999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.39,13.38,2.8,0.11,4.32,82.16,17.17,0.68
HOUSEHOLD_2_450_WI_1_validation,1909,0,0.04,0.0,1.51,2.0,1.51,37.7405648587853,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.15,13.46,2.39,0.12,4.89,84.29,14.98,0.73
HOUSEHOLD_2_358_CA_2_validation,1907,0,0.0,0.0,1.0,1.0,1.0,99999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",81.34,13.27,1.93,0.11,3.35,86.65,12.63,0.73
HOBBIES_1_154_WI_3_validation,1890,0,0.0,0.0,1.38,2.0,1.38,137999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.44,14.35,1.45,0.1,5.66,90.29,9.1,0.62
HOUSEHOLD_1_196_TX_1_validation,1905,2,2.36,0.0,5.58,5.0,5.58,2.3643967610306738,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",69.57,8.06,8.03,0.22,14.13,49.43,49.25,1.32
FOODS_3_017_CA_2_validation,1887,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.58,15.99,1.87,0.11,3.46,89.01,10.4,0.59
FOODS_3_166_WI_1_validation,1910,1,0.99,0.0,3.36,3.0,3.36,3.393905112069575,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",69.56,6.06,10.19,0.2,13.98,36.83,61.93,1.24
HOBBIES_1_258_TX_1_validation,1888,1,0.0,0.0,1.08,1.0,1.08,108000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.38,14.8,1.97,0.11,4.74,87.66,11.68,0.65
HOUSEHOLD_1_299_WI_1_validation,1887,0,0.0,0.0,1.8,2.0,1.8,180000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.73,13.45,2.61,0.11,5.1,83.18,16.12,0.7
HOUSEHOLD_2_445_TX_1_validation,1902,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.34,12.93,2.11,0.11,4.51,85.34,13.94,0.72
HOUSEHOLD_2_297_TX_3_validation,1895,0,0.0,0.0,1.04,1.0,1.04,104000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.76,14.54,2.43,0.11,4.16,85.14,14.23,0.63
HOBBIES_1_366_CA_2_validation,1898,0,0.01,0.0,1.57,2.0,1.57,156.84315684315686,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",73.89,13.44,3.34,0.1,9.23,79.6,19.77,0.62
FOODS_3_042_CA_3_validation,1909,2,1.62,0.0,4.1,4.0,4.1,2.530848575008796,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",73.62,8.57,8.71,0.2,8.89,49.0,49.82,1.17
FOODS_2_047_WI_1_validation,1913,2,3.1,0.02,6.43,6.0,6.41,2.0677352653701115,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",72.05,6.69,8.53,0.18,12.56,43.43,55.41,1.16
HOUSEHOLD_1_424_CA_2_validation,1910,0,0.0,0.0,1.04,1.0,1.04,104000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.24,14.48,1.98,0.1,4.22,87.49,11.94,0.58
FOODS_3_132_WI_1_validation,1913,3,1.22,0.0,3.44,3.0,3.44,2.819649019270334,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",71.03,5.58,7.97,0.18,15.24,40.66,58.02,1.32
FOODS_3_785_WI_3_validation,1899,0,0.0,0.0,1.9,2.0,1.9,189999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",77.25,12.77,2.49,0.08,7.41,83.25,16.23,0.52
FOODS_3_801_TX_1_validation,1890,1,2.93,0.06,7.56,7.0,7.5,2.5597182262176577,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",81.58,6.2,5.91,0.07,6.24,50.89,48.5,0.61
HOBBIES_1_017_CA_2_validation,1896,0,0.24,0.0,2.03,2.0,2.03,8.457980917461771,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",51.18,24.9,7.35,0.16,16.4,76.81,22.68,0.5
HOBBIES_1_269_WI_1_validation,1898,0,0.0,0.0,1.17,1.0,1.17,116999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",75.86,12.46,3.27,0.1,8.3,78.68,20.67,0.65
HOUSEHOLD_2_103_WI_3_validation,1892,0,0.0,0.0,0.98,1.0,0.98,97999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",75.78,15.64,2.87,0.1,5.61,84.04,15.42,0.55
FOODS_3_635_CA_2_validation,1888,10,13.11,5.45,21.64,20.0,16.19,1.2349342220181374,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",87.44,6.44,2.4,0.46,3.25,69.25,25.81,4.94
HOUSEHOLD_2_291_CA_4_validation,1903,0,0.0,0.0,0.88,1.0,0.88,88000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.5,16.48,1.95,0.07,3.99,89.09,10.55,0.36
FOODS_3_733_CA_4_validation,1907,1,0.34,0.0,1.31,2.0,1.31,3.852827858004176,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",66.06,13.72,0.62,0.11,19.48,94.95,4.29,0.76
HOUSEHOLD_1_463_CA_2_validation,1910,0,0.0,0.0,0.98,1.0,0.98,97999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.46,12.67,2.17,0.1,4.6,84.84,14.5,0.66
FOODS_2_174_WI_2_validation,1896,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.34,14.61,2.38,0.09,4.58,85.54,13.91,0.55
HOBBIES_2_089_CA_4_validation,1895,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",79.44,14.46,2.28,0.08,3.74,85.93,13.58,0.49
HOUSEHOLD_1_521_CA_2_validation,1910,0,3.25,0.04,10.01,9.0,9.97,3.0676828686680966,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",80.97,8.36,4.68,0.08,5.91,63.74,35.68,0.59
HOBBIES_1_004_WI_2_validation,1910,0,0.0,0.0,1.5,2.0,1.5,150000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",76.84,13.42,2.84,0.11,6.79,81.99,17.32,0.68
FOODS_3_208_CA_2_validation,1911,2,1.39,0.0,3.95,4.0,3.95,2.8417061747757213,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",82.88,2.38,3.86,0.21,10.68,36.89,59.9,3.21
HOBBIES_2_076_CA_4_validation,1891,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",78.24,13.47,2.67,0.08,5.53,83.04,16.44,0.51
HOUSEHOLD_1_104_TX_1_validation,1909,0,0.0,0.0,1.37,2.0,1.37,137000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.89,14.49,1.95,0.11,4.56,87.55,11.79,0.66
HOUSEHOLD_2_403_WI_1_validation,1901,8,0.0,0.0,1.02,1.0,1.02,102000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.85,13.4,2.23,0.11,4.41,85.14,14.17,0.69
HOUSEHOLD_2_078_CA_1_validation,1908,0,0.0,0.0,1.37,2.0,1.37,137000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.63,12.99,2.12,0.11,5.16,85.37,13.91,0.72
HOBBIES_1_176_TX_2_validation,1900,1,0.0,0.0,1.74,2.0,1.74,173999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",82.04,10.33,2.85,0.12,4.66,77.69,21.42,0.89
HOUSEHOLD_2_171_WI_2_validation,1897,0,0.0,0.0,1.1,1.0,1.1,110000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",77.94,16.66,1.41,0.06,3.93,91.89,7.77,0.33
HOUSEHOLD_2_426_CA_2_validation,1908,0,0.0,0.0,1.69,2.0,1.69,168999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",78.21,11.99,2.94,0.13,6.74,79.62,19.54,0.84
FOODS_3_401_TX_1_validation,1904,1,0.0,0.0,1.06,1.0,1.06,106000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",80.1,14.45,1.3,0.09,4.05,91.19,8.21,0.6
HOUSEHOLD_1_186_CA_4_validation,1891,1,1.25,0.0,3.51,3.0,3.51,2.80797753617971,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",78.44,5.71,5.27,0.14,10.44,51.34,47.36,1.3
FOODS_3_318_TX_3_validation,1905,11,9.81,4.03,15.96,15.0,11.93,1.21610477461287,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",83.65,7.23,4.0,0.22,4.91,63.15,34.95,1.91
HOUSEHOLD_1_330_CA_1_validation,1896,2,0.82,0.0,2.93,3.0,2.93,3.573127156985891,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",84.35,3.5,4.7,0.13,7.32,41.99,56.49,1.52
HOUSEHOLD_1_120_CA_3_validation,1912,3,0.01,0.0,1.23,1.0,1.23,122.87712287712287,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",77.2,12.45,2.85,0.11,7.39,80.83,18.48,0.69
HOUSEHOLD_1_073_CA_4_validation,1890,1,0.0,0.0,1.09,1.0,1.09,109000.0,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.81,14.72,1.27,0.09,4.11,91.51,7.9,0.59
FOODS_3_555_TX_3_validation,1909,29,19.99,7.12,28.58,27.0,21.459999999999997,1.073536231347558,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",85.8,6.48,2.93,0.37,4.42,66.22,30.0,3.78
FOODS_3_582_CA_4_validation,1899,0,1.21,0.0,3.38,3.0,3.38,2.7933653440880652,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",64.98,17.28,3.62,0.14,13.99,82.13,17.22,0.65
FOODS_3_561_CA_4_validation,1887,1,1.96,0.0,4.83,5.0,4.83,2.464273141463564,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",81.34,2.84,7.96,0.18,7.67,25.89,72.48,1.63
FOODS_2_118_WI_1_validation,1913,3,0.98,0.0,2.87,3.0,2.87,2.928541545494434,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",40.28,19.98,11.04,0.21,28.49,63.97,35.36,0.66
FOODS_1_147_TX_3_validation,1905,0,0.0,0.0,1.96,2.0,1.96,195999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",75.59,12.19,3.53,0.11,8.57,76.98,22.3,0.72
FOODS_3_118_WI_2_validation,1908,6,1.32,0.0,4.6,4.0,4.6,3.484822084681176,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",67.77,12.98,9.05,0.2,10.0,58.39,40.73,0.88
FOODS_2_040_WI_3_validation,1907,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",81.57,14.56,1.86,0.09,1.92,88.19,11.28,0.52
FOODS_3_177_TX_2_validation,1891,0,0.01,0.0,1.59,2.0,1.59,158.84115884115886,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",79.78,8.55,3.69,0.11,7.87,69.25,29.87,0.88
HOUSEHOLD_1_514_TX_1_validation,1907,2,3.36,0.81,7.02,7.0,6.209999999999999,1.8482087850929012,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",87.58,4.64,5.4,0.17,2.21,45.46,52.87,1.67
FOODS_3_094_CA_3_validation,1889,1,1.14,0.0,3.28,3.0,3.28,2.877167744142595,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",68.34,4.87,10.76,0.24,15.79,30.69,67.82,1.49
HOUSEHOLD_1_491_CA_4_validation,1889,0,0.0,0.0,1.4,2.0,1.4,139999.99999999997,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.87,13.02,2.11,0.11,4.89,85.45,13.85,0.7
FOODS_2_256_TX_1_validation,1895,0,0.04,0.0,1.92,2.0,1.92,47.98800299925018,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",80.48,10.95,2.32,0.1,6.14,81.86,17.37,0.77
FOODS_3_330_TX_2_validation,1907,4,1.03,0.0,3.08,3.0,3.08,2.990262230463782,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",79.69,9.42,6.73,0.19,3.96,57.63,41.19,1.18
HOUSEHOLD_1_330_WI_1_validation,1890,1,0.53,0.0,2.25,2.0,2.25,4.24520292069961,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",87.02,0.64,2.64,0.13,9.56,18.71,77.38,3.91
FOODS_2_227_TX_1_validation,1889,1,0.05,0.0,1.04,1.0,1.04,20.795840831833633,MEDIUM,Demand Volatility,"['Review safety stock levels', 'Monitor demand over the next replenishment cycle', 'Check reorder parameters']",78.98,11.46,2.08,0.1,7.39,84.05,15.25,0.7
HOBBIES_1_381_WI_1_validation,1912,1,1.12,0.0,4.19,4.0,4.19,3.7410380264461924,MEDIUM,Seasonality And Events,"['Review upcoming seasonal demand', 'Coordinate with suppliers', 'Validate promotion schedule']",67.48,5.87,8.26,1.66,16.72,37.19,52.33,10.48
HOUSEHOLD_2_151_WI_2_validation,1909,0,0.0,0.0,0.99,1.0,0.99,98999.99999999999,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.31,14.9,2.03,0.11,4.65,87.46,11.9,0.64
FOODS_3_727_TX_3_validation,1912,2,2.15,0.0,5.24,5.0,5.24,2.437197966521086,LOW,Seasonality And Events,"['Follow planned seasonal inventory', 'Continue monitoring event calendar', 'No additional action required']",66.58,3.8,10.24,0.27,19.11,26.57,71.55,1.88
HOBBIES_1_135_WI_3_validation,1899,0,0.0,0.0,0.9,1.0,0.9,90000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",75.37,15.69,2.66,0.1,6.18,85.04,14.4,0.56
HOUSEHOLD_1_209_WI_1_validation,1903,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",80.09,14.94,2.06,0.13,2.78,87.21,12.0,0.79
FOODS_3_009_TX_1_validation,1897,0,0.0,0.0,0.17,1.0,0.17,17000.0,HIGH,Demand Volatility,"['Increase safety stock', 'Shorten replenishment cycle', 'Monitor demand daily']",78.3,16.29,1.31,0.06,4.04,92.24,7.42,0.34
HOBBIES_2_118_CA_2_validation,1898,0,0.0,0.0,0.0,1.0,0.0,0.0,LOW,Demand Volatility,"['Maintain current safety stock', 'Continue routine demand monitoring', 'No immediate intervention required']",78.28,13.43,2.76,0.08,5.44,82.52,16.97,0.51
HOUSEHOLD_2_315_TX_2_validation,1906,0,0.0,0.0,1.2,1.0,1.2,119999.99999999999,CRITICAL,Demand Volatility,"['Expedite replenishment', 'Increase emergency inventory', 'Notify inventory planner immediately']",79.49,11.56,2.89,0.11,5.95,79.41,19.87,0.73
